RECONSTRUCTED EXCEL CONTENT FROM SHEET20 (PO SUPPLIER)
R1: A1: STS | B1: PACUL
R2: A2: RakBarang | B2: (Multiple Items)
R4: A4: NoItem | B4: NamaItem | C4: STATUS | D4: DI NOSTOK
R5: A5: 06401-KPH-881 | B5: GIR SET H.KARISMA/SUPRA X 125 ORI | C5: D | D5: F:IFERROR(VLOOKUP(A5,'NOSTOK PACUL'!A:C,3,0),0) (=0)
R6: A6: 06401-KWW-900 | B6: GIR SET H.NEW REVO 110 / BLADE NEW ORI | C6: D | D6: F:IFERROR(VLOOKUP(A6,'NOSTOK PACUL'!A:C,3,0),0) (=0)
R7: A7: 06455-K59-A71 | B7: DISC PAD H.VARIO 125 NEW ESP ORI | C7: D | D7: F:IFERROR(VLOOKUP(A7,'NOSTOK PACUL'!A:C,3,0),0) (=0)
R8: A8: 09355-50105L460 | B8: SELANG BENSIN S.SGP ORI | C8: D | D8: F:IFERROR(VLOOKUP(A8,'NOSTOK PACUL'!A:C,3,0),0) (=0)
R9: A9: 11103-KVB-930 | B9: KARET MONTING H.VARIO ORI | C9: D | D9: F:IFERROR(VLOOKUP(A9,'NOSTOK PACUL'!A:C,3,0),0) (=0)
R10: A10: 11363-KWN-900 | B10: ORING MAGHNET H.VARIO 125 ORI | C10: D | D10: F:IFERROR(VLOOKUP(A10,'NOSTOK PACUL'!A:C,3,0),0) (=0)
R11: A11: 12361-035-000 | B11: TUTUP KLEP GRAND AHM | C11: D | D11: F:IFERROR(VLOOKUP(A11,'NOSTOK PACUL'!A:C,3,0),0) (=0)
R12: A12: 12391-KZR-600 | B12: SEAL HEAD H.VARIO 125 ORI | C12: D | D12: F:IFERROR(VLOOKUP(A12,'NOSTOK PACUL'!A:C,3,0),0) (=0)
R13: A13: 14520-GFC-771 | B13: TENSIONER H.VARIO 125 ORI | C13: D | D13: F:IFERROR(VLOOKUP(A13,'NOSTOK PACUL'!A:C,3,0),0) (=E)
R14: A14: 16016-K03-H11 | B14: SETELAN ANGIN H.BEAT ORI | C14: D | D14: F:IFERROR(VLOOKUP(A14,'NOSTOK PACUL'!A:C,3,0),0) (=0)
R15: A15: 17210-K59-A70 | B15: FILTER UDARA H.VARIO 150 LED ESP ORI | C15: D | D15: F:IFERROR(VLOOKUP(A15,'NOSTOK PACUL'!A:C,3,0),0) (=0)
R16: A16: 17210-K97-N00 | B16: FILTER UDARA H.PCX 150 ORI | C16: D | D16: F:IFERROR(VLOOKUP(A16,'NOSTOK PACUL'!A:C,3,0),0) (=0)
R17: A17: 17210-KVY-960 | B17: FILTER UDARA H.BEAT ORI | C17: D | D17: F:IFERROR(VLOOKUP(A17,'NOSTOK PACUL'!A:C,3,0),0) (=0)
R18: A18: 19216-KVB-900 | B18: ORING MAGHNET H.VARIO ORI | C18: D | D18: F:IFERROR(VLOOKUP(A18,'NOSTOK PACUL'!A:C,3,0),0) (=0)
R19: A19: 19217-MAL-300 | B19: SEAL MECHANICAL H.VARIO ORI | C19: D | D19: F:IFERROR(VLOOKUP(A19,'NOSTOK PACUL'!A:C,3,0),0) (=0)
R20: A20: 19226-KVB-900 | B20: ORING WATER PUMP H.VARIO CARBU ORI | C20: D | D20: F:IFERROR(VLOOKUP(A20,'NOSTOK PACUL'!A:C,3,0),0) (=0)
R21: A21: 1S7-E3440-00 | B21: FILTER OLI Y.VIXION ORI | C21: D | D21: F:IFERROR(VLOOKUP(A21,'NOSTOK PACUL'!A:C,3,0),0) (=0)
R22: A22: 21501B09J00N000 | B22: KAMPAS GANDA S.NEX 1SET ORI | C22: D | D22: F:IFERROR(VLOOKUP(A22,'NOSTOK PACUL'!A:C,3,0),0) (=0)
R23: A23: 22100-KWN-901 | B23: RUMAH OTOM. KOPLING GANDA H.VARIO 125 ORI | C23: D | D23: F:IFERROR(VLOOKUP(A23,'NOSTOK PACUL'!A:C,3,0),0) (=0)
R24: A24: 22102-K44-V00 | B24: KIPAS PULLY H.BEAT FI ESP ORI | C24: D | D24: F:IFERROR(VLOOKUP(A24,'NOSTOK PACUL'!A:C,3,0),0) (=0)
R25: A25: 22102-K97-T01 | B25: KIPAS PULLY H.PCX 150 ORI | C25: D | D25: F:IFERROR(VLOOKUP(A25,'NOSTOK PACUL'!A:C,3,0),0) (=0)
R26: A26: 22105-K97-T00 | B26: BOSH PULLY / BOSH ROLLER H.PCX 150 ORI | C26: D | D26: F:IFERROR(VLOOKUP(A26,'NOSTOK PACUL'!A:C,3,0),0) (=0)
R27: A27: 22110-K97-T00 | B27: RUMAH ROLLER H.PCX 150 ORI | C27: D | D27: F:IFERROR(VLOOKUP(A27,'NOSTOK PACUL'!A:C,3,0),0) (=0)
R28: A28: 22110-KVY-900 | B28: RUMAH ROLLER H.BEAT CARBU ORI | C28: D | D28: F:IFERROR(VLOOKUP(A28,'NOSTOK PACUL'!A:C,3,0),0) (=0)
R29: A29: 22123-K0S-V00 | B29: ROLLER H.PCX 160 ORI | C29: D | D29: F:IFERROR(VLOOKUP(A29,'NOSTOK PACUL'!A:C,3,0),0) (=0)
R30: A30: 2212A-K36-T00 | B30: ROLLER H.VARIO 150 ORI | C30: D | D30: F:IFERROR(VLOOKUP(A30,'NOSTOK PACUL'!A:C,3,0),0) (=0)
R31: A31: 2212A-KWN-900 | B31: ROLLER H.VARIO 125 ORI | C31: D | D31: F:IFERROR(VLOOKUP(A31,'NOSTOK PACUL'!A:C,3,0),0) (=0)
R32: A32: 22131-KVB-900 | B32: LAWAN RUMAH ROLLER H.VARIO 110 CARBU ORI | C32: D | D32: F:IFERROR(VLOOKUP(A32,'NOSTOK PACUL'!A:C,3,0),0) (=0)
