RECONSTRUCTED EXCEL CONTENT FROM SHEET24 (RENCANA ORDER)
R1: A1: STS | B1: TRAYEMAN | E1: KLIK REFRESH ALL
R3: A3: NoItem | B3: STATUS | C3: STOK | D3: MAX_STOK
R4: A4: 06535-GN5-505 | B4: D | C4: 2 | D4: 1
R5: A5: 08232-2MB-K8JN1 | B5: B | C5: 10 | D5: 15
R6: A6: 08232-M99-K1JN1 | B6: B | C6: 6 | D6: 13
R7: A7: 08234-2MB-K8JN0 | B7: D | C7: 2 | D7: 3
R8: A8: 08CLA-H50-500 | B8: B | C8: 0 | D8: 0
R9: A9: 09355-50105L460 | B9: D | C9: 1 | D9: 2
R10: A10: 12209-GB4-682 | B10: D | C10: 0 | D10: 4
R11: A11: 12251-KZR-601 | B11: D | C11: 0 | D11: 0
R12: A12: 12391-K25-601 | B12: D | C12: 0 | D12: 1
R13: A13: 12391-KZR-600 | B13: D | C13: 1 | D13: 1
R14: A14: 131A3-KVB-930 | B14: D | C14: 0 | D14: 0
R15: A15: 17210-K16-900 | B15: D | C15: 1 | D15: 1
R16: A16: 19200-KWN-901 | B16: D | C16: 0 | D16: 1
R17: A17: 20W-40MATIC | B17: C | C17: 4 | D17: 5
R18: A18: 22011-K81-N00 | B18: D | C18: 0 | D18: 2
R19: A19: 22011-KWN-900 | B19: D | C19: 0 | D19: 2
R20: A20: 22102-K44-V00 | B20: D | C20: 1 | D20: 1
R21: A21: 22102-KZR-600 | B21: D | C21: 0 | D21: 1
R22: A22: 22105-K44-V00 | B22: D | C22: 1 | D22: 1
R23: A23: 22110-K35-V00 | B23: D | C23: 0 | D23: 1
R24: A24: 22110-K44-V00 | B24: D | C24: 1 | D24: 1
R25: A25: 2212A-K35-640 | B25: D | C25: 0 | D25: 1
R26: A26: 2212A-K36-T00 | B26: D | C26: 0 | D26: 1
R27: A27: 2212A-K44-V00 | B27: D | C27: 3 | D27: 2
R28: A28: 2212A-KVB-900 | B28: D | C28: 0 | D28: 1
R29: A29: 22132-GCC-771 | B29: D | C29: 3 | D29: 0
R30: A30: 22535-K44-V00 | B30: D | C30: 1 | D30: 1
R31: A31: 22535-KWN-901 | B31: D | C31: 0 | D31: 2
R32: A32: 23100-K44-V01 | B32: D | C32: 0 | D32: 3
R33: A33: 23100-KZL-932 | B33: D | C33: 0 | D33: 1
R34: A34: 2DP-E7465-00 | B34: D | C34: 0 | D34: 2
R35: A35: 2DP-E7465-10 | B35: D | C35: 0 | D35: 2
R36: A36: 31500-KZR-602 | B36: D | C36: 1 | D36: 1
R37: A37: 31600-KVB-N51 | B37: D | C37: 0 | D37: 1
R38: A38: 34901-KFV-B51 | B38: D | C38: 3 | D38: 2
R39: A39: 35345-GW0-900 | B39: D | C39: 0 | D39: 2
R40: A40: 42711-K59-A12 | B40: D | C40: 1 | D40: 1
R41: A41: 43130-KZL-930 | B41: D | C41: 2 | D41: 2
R42: A42: 44711-K59-A12 | B42: D | C42: 1 | D42: 1
R43: A43: 44830-KVY-721 | B43: D | C43: 0 | D43: 1
R44: A44: 51490-GN5-305 | B44: D | C44: 0 | D44: 2
R45: A45: 54P-E7465-10 | B45: D | C45: 0 | D45: 2
R46: A46: 8997034790026 | B46: B | C46: 13 | D46: 27
R47: A47: 90793AJ425 | B47: D | C47: 1 | D47: 1
R48: A48: 90793AJ804 | B48: D | C48: 3 | D48: 2
R49: A49: 90793AJ829 | B49: D | C49: 1 | D49: 1
R50: A50: 91009-KVY-961 | B50: D | C50: 0 | D50: 1
R51: A51: 91202-K0J-N01 | B51: D | C51: 1 | D51: 1
R52: A52: 91202-KJ9-003 | B52: D | C52: 2 | D52: 2
R53: A53: 91202-KVB-901 | B53: D | C53: 6 | D53: 2
R54: A54: 91211-GK8-013 | B54: D | C54: 2 | D54: 2
R55: A55: 91211-KN7-671 | B55: D | C55: 2 | D55: 4
R56: A56: 91351-GR1-000 | B56: D | C56: 6 | D56: 4
R57: A57: 93102-20815 | B57: D | C57: 1 | D57: 2
R58: A58: 93102-25816 | B58: D | C58: 0 | D58: 3
R59: A59: 98059-57927 | B59: D | C59: 1 | D59: 2
R60: A60: 99000B00MP3NSCH | B60: B | C60: 33 | D60: 23
R61: A61: ALF62-01RS | B61: D | C61: 2 | D61: 2
R62: A62: BAUD0003 | B62: D | C62: 5 | D62: 5
R63: A63: BAUD0005 | B63: B | C63: 6 | D63: 44
R64: A64: BAUD0007 | B64: D | C64: 12 | D64: 3
R65: A65: BAUD0014 | B65: D | C65: 3 | D65: 2
R66: A66: BAUDBLC | B66: C | C66: 10 | D66: 5
R67: A67: BCPRGEA-9NGK | B67: D | C67: 2 | D67: 2
R68: A68: BDCS1,5 | B68: D | C68: 13 | D68: 2
R69: A69: BDFRHA | B69: D | C69: 12 | D69: 3
R70: A70: BDKMCH | B70: D | C70: 13 | D70: 2
R71: A71: BDKPPK | B71: C | C71: 5 | D71: 48
R72: A72: BOCU-R0J | B72: D | C72: 6 | D72: 4
R73: A73: BRGGAS | B73: D | C73: 3 | D73: 2
R74: A74: DLTPFM | B74: D | C74: 2 | D74: 2
R75: A75: edrsae20w-40 | B75: D | C75: 1 | D75: 3
R76: A76: FLBMJ | B76: D | C76: 0 | D76: 1
R77: A77: GEN000010 | B77: D | C77: 0 | D77: 2
R78: A78: GEN00007 | B78: D | C78: 2 | D78: 3
R79: A79: GP0011 | B79: D | C79: 9 | D79: 2
R80: A80: GP0119 | B80: D | C80: 0 | D80: 2
R81: A81: GP0125 | B81: D | C81: 2 | D81: 8
R82: A82: GP0127 | B82: D | C82: 2 | D82: 4
R83: A83: GP0178 | B83: D | C83: 0 | D83: 2
R84: A84: GP0265 | B84: C | C84: 74 | D84: 22
R85: A85: KBGHBCI | B85: D | C85: 1 | D85: 2
R86: A86: LECIN-01 | B86: D | C86: 1 | D86: 2
R87: A87: MG00002 | B87: D | C87: 0 | D87: 1
R88: A88: MRRMKT | B88: D | C88: 4 | D88: 1
R89: A89: NGK-CPR9EA-9 | B89: D | C89: 7 | D89: 3
R90: A90: NN000521 | B90: D | C90: 4 | D90: 2
R91: A91: NN00210 | B91: D | C91: 3 | D91: 2
R92: A92: ORGTOA | B92: D | C92: 9 | D92: 2
R93: A93: RING6x20 | B93: D | C93: 6 | D93: 2
R94: A94: RINGPT | B94: D | C94: 3 | D94: 2
R95: A95: ROLI-17 | B95: D | C95: 17 | D95: 2
R96: A96: ROLIGN | B96: D | C96: 18 | D96: 2
R97: A97: SBNCLK | B97: B | C97: 13 | D97: 21
R98: A98: SLSHTMNSL | B98: D | C98: 1 | D98: 2
R99: A99: SLTPWS | B99: D | C99: 1 | D99: 2
R100: A100: STPHND | B100: D | C100: 0 | D100: 1
R101: A101: TOPSTV | B101: D | C101: 0 | D101: 0
R102: A102: VM00113 | B102: D | C102: 3 | D102: 4
R103: A103: VM0035 | B103: D | C103: 1 | D103: 2
R104: A104: 131A3-KWN-902 | B104: D | C104: 0 | D104: 0
R105: A105: BUDCVT | B105: D | C105: 1 | D105: 2
R106: A106: 12191-KZR-600 | B106: D | C106: 0 | D106: 0
R107: A107: 22123-K0J-N00 | B107: D | C107: 0 | D107: 1
R108: A108: VM00032 | B108: D | C108: 0 | D108: 4
R109: A109: 09471-12008-000 | B109: D | C109: 4 | D109: 3
R110: A110: 08232-2MB-K2LN1 | B110: D | C110: 7 | D110: 3
R111: A111: 22105-KWN-900 | B111: D | C111: 1 | D111: 1
R112: A112: 50530-K25-900 | B112: D | C112: 0 | D112: 1
R113: A113: BHKVCI | B113: D | C113: 0 | D113: 0
R114: A114: STSKL | B114: D | C114: 21 | D114: 3
R115: A115: 17220-KZR-600 | B115: D | C115: 0 | D115: 1
R116: A116: BDCVTP | B116: D | C116: 1 | D116: 2
R117: A117: ICCSL99 | B117: B | C117: 29 | D117: 20
R118: A118: PECSL99 | B118: B | C118: 9 | D118: 16
R119: A119: TMHVTI | B119: D | C119: 0 | D119: 1
R120: A120: 5011987101166 | B120: D | C120: 3 | D120: 3
R121: A121: PNLDPN | B121: D | C121: 0 | D121: 0
R122: A122: 91109-K2S-N01 | B122: D | C122: 0 | D122: 1
R123: A123: PKVB50 | B123: D | C123: 0 | D123: 1
